Area,BHK,Bathroom,Furnishing,Parking,Price,Status,Transaction,Type
800,3,2,Semi-Furnished,1,6500000,Ready_to_move,New_Property,Builder_Floor
750,2,2,Semi-Furnished,1,5000000,Ready_to_move,New_Property,Apartment
950,2,2,Furnished,1,15500000,Ready_to_move,Resale,Apartment
600,2,2,Semi-Furnished,1,4200000,Ready_to_move,Resale,Builder_Floor
650,2,2,Semi-Furnished,1,6200000,Ready_to_move,New_Property,Builder_Floor
1300,4,3,Semi-Furnished,1,15500000,Ready_to_move,New_Property,Builder_Floor
1350,4,3,Semi-Furnished,1,10000000,Ready_to_move,Resale,Builder_Floor
650,2,2,Semi-Furnished,1,4000000,Ready_to_move,New_Property,Apartment
985,3,3,Unfurnished,1,6800000,Almost_ready,New_Property,Builder_Floor
1300,4,4,Semi-Furnished,1,15000000,Ready_to_move,New_Property,Builder_Floor
1100,3,2,Semi-Furnished,1,6200000,Ready_to_move,New_Property,Builder_Floor
870,3,2,Semi-Furnished,1,7700000,Ready_to_move,New_Property,Builder_Floor
630,2,2,Semi-Furnished,1,5500000,Ready_to_move,New_Property,Builder_Floor
660,2,2,Semi-Furnished,1,5000000,Ready_to_move,Resale,Builder_Floor
344.4448,2,2,Semi-Furnished,1,3310000,Ready_to_move,Resale,Builder_Floor
660,2,2,Semi-Furnished,1,4700000,Ready_to_move,New_Property,Builder_Floor
550,2,2,Semi-Furnished,1,4500000,Ready_to_move,New_Property,Builder_Floor
1100,4,3,Semi-Furnished,1,17000000,Ready_to_move,New_Property,Builder_Floor
1150,3,3,Semi-Furnished,1,25000000,Ready_to_move,Resale,Apartment
650,2,2,Semi-Furnished,1,6000000,Ready_to_move,Resale,Builder_Floor
850,2,2,Semi-Furnished,1,11000000,Ready_to_move,Resale,Apartment
900,3,2,Semi-Furnished,5,4500000,Ready_to_move,Resale,Builder_Floor
430.556,1,1,Furnished,2,5300000,Ready_to_move,Resale,Apartment
900,2,2,Semi-Furnished,1,10500000,Ready_to_move,Resale,Apartment
914.9315,2,2,Semi-Furnished,1,12000000,Ready_to_move,Resale,Builder_Floor
1100,3,3,Furnished,1,7000000,Ready_to_move,New_Property,Builder_Floor
800,3,2,Semi-Furnished,1,7000000,Ready_to_move,Resale,Builder_Floor
500,1,1,Semi-Furnished,1,3400000,Ready_to_move,Resale,Apartment
28,2,2,Furnished,1,5000000,Ready_to_move,New_Property,Apartment
2160,4,4,Furnished,1,21000000,Ready_to_move,New_Property,Builder_Floor
1500,1,,Unfurnished,,13500000,Ready_to_move,Resale,Apartment
800,2,2,Unfurnished,1,15000000,Ready_to_move,New_Property,Builder_Floor
900,2,2,Unfurnished,1,10500000,Ready_to_move,New_Property,Builder_Floor
1080,3,2,Semi-Furnished,1,22500000,Ready_to_move,New_Property,Builder_Floor
750,2,2,Unfurnished,1,13600000,Ready_to_move,New_Property,Builder_Floor
1450,3,3,Semi-Furnished,2,30000000,Ready_to_move,New_Property,Builder_Floor
900,2,2,Semi-Furnished,1,13500000,Ready_to_move,New_Property,Apartment
810,2,2,Semi-Furnished,1,8910000,Ready_to_move,Resale,Builder_Floor
1350,3,4,Unfurnished,1,25000000,Ready_to_move,Resale,Apartment
1710,3,3,Semi-Furnished,4,26000000,Ready_to_move,New_Property,Builder_Floor
1650,3,3,Semi-Furnished,1,30000000,Ready_to_move,Resale,Builder_Floor
1280,2,2,Furnished,1,12500000,Ready_to_move,Resale,Builder_Floor
1260,3,3,Semi-Furnished,1,21000000,Ready_to_move,Resale,Builder_Floor
1130,2,2,Unfurnished,1,7800000,Ready_to_move,Resale,Builder_Floor
600,2,2,Semi-Furnished,1,11500000,Ready_to_move,New_Property,Builder_Floor
850,2,2,Semi-Furnished,1,11500000,Ready_to_move,Resale,Builder_Floor
1500,3,3,Semi-Furnished,2,26000000,Ready_to_move,New_Property,Builder_Floor
900,2,2,Semi-Furnished,2,13000000,Ready_to_move,New_Property,Builder_Floor
1000,3,3,Semi-Furnished,1,22000000,Ready_to_move,New_Property,Builder_Floor
900,2,2,Semi-Furnished,1,15800000,Ready_to_move,New_Property,Builder_Floor
2925,4,4,Unfurnished,2,57500000,Ready_to_move,New_Property,Builder_Floor
900,2,2,Unfurnished,2,10000000,Ready_to_move,Resale,Builder_Floor
1600,3,3,Unfurnished,2,30000000,Ready_to_move,New_Property,Builder_Floor
1143,3,3,Unfurnished,2,22000000,Ready_to_move,New_Property,Builder_Floor
1150,3,3,Semi-Furnished,2,24000000,Ready_to_move,New_Property,Builder_Floor
1500,3,3,Semi-Furnished,1,31500000,Ready_to_move,Resale,Builder_Floor
850,2,2,Semi-Furnished,1,14600000,Ready_to_move,Resale,Builder_Floor
8000,4,5,Semi-Furnished,1,240000000,Ready_to_move,New_Property,Builder_Floor
890,2,2,Semi-Furnished,1,8300000,Ready_to_move,Resale,Builder_Floor
1100,3,3,Unfurnished,1,22500000,Ready_to_move,New_Property,Builder_Floor
750,1,1,Furnished,2,4600000,Ready_to_move,Resale,Apartment
850,2,1,Semi-Furnished,2,1900000,Ready_to_move,New_Property,Apartment
1350,3,2,Unfurnished,1,5130000,Ready_to_move,New_Property,Apartment
1387,4,4,Unfurnished,1,5890000,Ready_to_move,New_Property,Apartment
1050,3,2,Unfurnished,1,3700000,Ready_to_move,New_Property,Apartment
1500,3,2,Unfurnished,1,17400000,Ready_to_move,Resale,Apartment
1200,3,3,Semi-Furnished,1,15500000,Ready_to_move,Resale,Apartment
700,2,1,Semi-Furnished,1,2400000,Almost_ready,New_Property,Apartment
1700,3,2,Semi-Furnished,1,17200000,Ready_to_move,Resale,Apartment
1550,3,2,Furnished,2,14200000,Ready_to_move,Resale,Apartment
1400,3,3,Semi-Furnished,1,13500000,Ready_to_move,Resale,Apartment
1900,4,4,Semi-Furnished,1,30000000,Ready_to_move,Resale,Apartment
2160,4,3,Unfurnished,1,21000000,Ready_to_move,Resale,Apartment
1700,4,3,Unfurnished,1,20500000,Ready_to_move,Resale,Apartment
1850,3,4,Semi-Furnished,1,24000000,Ready_to_move,Resale,Apartment
1800,4,2,Semi-Furnished,1,16500000,Ready_to_move,Resale,Apartment
1620,3,2,Semi-Furnished,1,14900000,Ready_to_move,Resale,Apartment
1800,4,3,Furnished,1,19200000,Ready_to_move,Resale,Apartment
1540,3,3,Semi-Furnished,1,14500000,Ready_to_move,Resale,Apartment
1600,3,3,Semi-Furnished,1,15600000,Ready_to_move,Resale,Apartment
1400,3,2,Unfurnished,1,11400000,Ready_to_move,Resale,Apartment
2300,4,4,Furnished,1,31500000,Ready_to_move,Resale,Apartment
1560,3,2,Furnished,2,15800000,Ready_to_move,Resale,Apartment
1500,3,3,Semi-Furnished,2,16000000,Ready_to_move,Resale,Apartment
1540,3,3,Semi-Furnished,1,14500000,Ready_to_move,Resale,Apartment
1050,2,2,Unfurnished,1,10500000,Ready_to_move,Resale,Apartment
1800,3,2,Semi-Furnished,1,14800000,Ready_to_move,Resale,Apartment
400,1,1,Semi-Furnished,1,1850000,Ready_to_move,New_Property,Builder_Floor
1150,3,2,Semi-Furnished,1,6800000,Ready_to_move,New_Property,Builder_Floor
1525,3,3,Semi-Furnished,1,14200000,Ready_to_move,Resale,Apartment
900,1,1,Semi-Furnished,,8900000,Ready_to_move,Resale,Builder_Floor
1450,3,3,Semi-Furnished,2,37500000,Ready_to_move,New_Property,Builder_Floor
1450,3,3,Semi-Furnished,2,30000000,Ready_to_move,New_Property,Builder_Floor
1260,3,3,Semi-Furnished,2,21000000,Ready_to_move,Resale,Builder_Floor
2925,4,4,Unfurnished,2,57500000,Ready_to_move,New_Property,Builder_Floor
1710,3,3,Semi-Furnished,1,30000000,Ready_to_move,Resale,Builder_Floor
1600,3,3,Unfurnished,1,30000000,Ready_to_move,New_Property,Builder_Floor
1500,3,3,Semi-Furnished,1,31500000,Ready_to_move,Resale,Builder_Floor
2200,3,3,Unfurnished,1,30000000,Ready_to_move,Resale,Builder_Floor
1350,3,3,Unfurnished,1,41500000,Ready_to_move,New_Property,Builder_Floor
1710,3,3,Semi-Furnished,1,24800000,Ready_to_move,Resale,Builder_Floor
1350,3,3,Semi-Furnished,2,35000000,Ready_to_move,Resale,Builder_Floor
1500,3,3,Semi-Furnished,1,40000000,Ready_to_move,Resale,Builder_Floor
2880,4,5,Unfurnished,1,46000000,Ready_to_move,New_Property,Builder_Floor
2700,4,4,Semi-Furnished,2,55000000,Ready_to_move,Resale,Builder_Floor
1400,3,3,Unfurnished,1,24500000,Ready_to_move,Resale,Builder_Floor
1800,3,3,Unfurnished,1,24500000,Ready_to_move,Resale,Apartment
1400,3,3,Semi-Furnished,1,32500000,Ready_to_move,New_Property,Builder_Floor
1000,2,2,Furnished,1,20000000,Ready_to_move,Resale,Apartment
8000,4,5,Semi-Furnished,1,240000000,Ready_to_move,New_Property,Builder_Floor
1000,2,2,Furnished,1,20000000,Ready_to_move,Resale,Apartment
1700,3,3,Furnished,2,19000000,Ready_to_move,Resale,Builder_Floor
1600,3,3,Unfurnished,2,26000000,Ready_to_move,Resale,Builder_Floor
1350,3,3,Unfurnished,1,21000000,Ready_to_move,Resale,Builder_Floor
1700,3,3,Semi-Furnished,1,27500000,Ready_to_move,Resale,Builder_Floor
1400,3,3,Semi-Furnished,2,32500000,Ready_to_move,New_Property,Builder_Floor
1450,3,3,Semi-Furnished,1,45000000,Ready_to_move,New_Property,Builder_Floor
1350,3,3,Semi-Furnished,1,21000000,Ready_to_move,Resale,Builder_Floor
1700,3,3,Unfurnished,1,28000000,Ready_to_move,Resale,Builder_Floor
1600,3,3,Unfurnished,2,29500000,Ready_to_move,Resale,Builder_Floor
1500,1,,Unfurnished,,13500000,Ready_to_move,Resale,Apartment
800,2,2,Unfurnished,1,14000000,Ready_to_move,New_Property,Builder_Floor
1710,3,3,Semi-Furnished,4,26000000,Ready_to_move,New_Property,Builder_Floor
1350,2,2,Furnished,4,12500000,Ready_to_move,Resale,Builder_Floor
1500,3,3,Semi-Furnished,2,26000000,Ready_to_move,New_Property,Builder_Floor
750,2,2,Semi-Furnished,2,11500000,Ready_to_move,New_Property,Builder_Floor
850,2,2,Semi-Furnished,2,14600000,Ready_to_move,Resale,Builder_Floor
1575,3,3,Semi-Furnished,1,25500000,Ready_to_move,New_Property,Builder_Floor
1675,3,3,Semi-Furnished,2,31000000,Ready_to_move,New_Property,Builder_Floor
1350,3,3,Semi-Furnished,2,22000000,Ready_to_move,Resale,Builder_Floor
900,2,2,Semi-Furnished,2,13400000,Ready_to_move,New_Property,Builder_Floor
1800,3,3,Semi-Furnished,2,35000000,Almost_ready,New_Property,Builder_Floor
900,2,2,Furnished,2,11000000,Ready_to_move,Resale,Builder_Floor
900,2,2,Unfurnished,2,6300000,Ready_to_move,Resale,Builder_Floor
900,2,2,Furnished,2,12500000,Ready_to_move,Resale,Builder_Floor
800,2,2,Unfurnished,1,14500000,Ready_to_move,New_Property,Builder_Floor
1100,2,3,Semi-Furnished,1,22500000,Ready_to_move,New_Property,Builder_Floor
810,2,2,Semi-Furnished,1,15500000,Ready_to_move,New_Property,Builder_Floor
1500,3,3,Semi-Furnished,1,26000000,Ready_to_move,New_Property,Builder_Floor
900,2,2,Semi-Furnished,1,15800000,Ready_to_move,New_Property,Builder_Floor
825,2,2,Unfurnished,1,15000000,Ready_to_move,New_Property,Builder_Floor
900,2,2,Unfurnished,1,13000000,Ready_to_move,New_Property,Builder_Floor
875,2,2,Unfurnished,1,15000000,Ready_to_move,New_Property,Builder_Floor
1350,3,3,Semi-Furnished,1,25000000,Ready_to_move,New_Property,Builder_Floor
750,2,2,Semi-Furnished,1,16500000,Ready_to_move,New_Property,Builder_Floor
900,2,2,Unfurnished,1,10300000,Ready_to_move,New_Property,Builder_Floor
1350,3,3,Semi-Furnished,1,26000000,Ready_to_move,New_Property,Builder_Floor
900,2,2,Unfurnished,1,11000000,Ready_to_move,Resale,Builder_Floor
1800,3,3,Unfurnished,1,28500000,Ready_to_move,New_Property,Builder_Floor
900,2,2,Unfurnished,1,11000000,Ready_to_move,Resale,Builder_Floor
900,2,1,Furnished,1,11000000,Ready_to_move,Resale,Apartment
810,3,2,Semi-Furnished,1,4500000,Ready_to_move,Resale,Builder_Floor
450,2,1,Unfurnished,1,3600000,Ready_to_move,Resale,Builder_Floor
100,3,2,Furnished,1,4300000,Ready_to_move,New_Property,Builder_Floor
900,3,2,Semi-Furnished,1,4000000,Ready_to_move,Resale,Builder_Floor
500,2,2,Semi-Furnished,1,1650000,Ready_to_move,Resale,Apartment
450,1,1,Furnished,1,2000000,Ready_to_move,Resale,Builder_Floor
75,2,2,Semi-Furnished,1,3000000,Ready_to_move,Resale,Builder_Floor
270,2,1,Semi-Furnished,1,1400000,Ready_to_move,Resale,Apartment
500,2,1,Semi-Furnished,1,2000000,Ready_to_move,Resale,Builder_Floor
444,2,2,Unfurnished,1,2000000,Ready_to_move,Resale,Apartment
400,1,1,Furnished,1,2000000,Ready_to_move,Resale,Builder_Floor
729,3,4,Furnished,1,2600000,Ready_to_move,Resale,Builder_Floor
4050,6,3,Furnished,1,5100000,Ready_to_move,Resale,Builder_Floor
2400,6,4,Furnished,1,6000000,Ready_to_move,Resale,Builder_Floor
450,2,2,Furnished,1,4000000,Ready_to_move,Resale,Builder_Floor
405,2,3,Furnished,1,6200000,Ready_to_move,Resale,Builder_Floor
666,1,2,Furnished,1,3500000,Ready_to_move,Resale,Builder_Floor
1000,2,2,Semi-Furnished,1,7600000,Ready_to_move,Resale,Apartment
1360,4,3,Semi-Furnished,1,13500000,Ready_to_move,New_Property,Builder_Floor
1550,4,3,Semi-Furnished,1,12500000,Ready_to_move,New_Property,Builder_Floor
850,3,2,Semi-Furnished,1,6500000,Ready_to_move,New_Property,Builder_Floor
2170,4,4,Unfurnished,2,22000000,Ready_to_move,New_Property,Builder_Floor
720,3,2,Semi-Furnished,1,6000000,Ready_to_move,New_Property,Builder_Floor
850,3,2,Semi-Furnished,1,7300000,Ready_to_move,New_Property,Builder_Floor
950,3,2,Semi-Furnished,1,7600000,Ready_to_move,New_Property,Builder_Floor
2300,4,4,Semi-Furnished,1,20000000,Ready_to_move,New_Property,Builder_Floor
1300,4,4,Semi-Furnished,1,15000000,Ready_to_move,New_Property,Builder_Floor
1100,3,2,Semi-Furnished,1,6200000,Ready_to_move,New_Property,Builder_Floor
1030,3,2,Furnished,1,6200000,Ready_to_move,New_Property,Builder_Floor
350,1,1,Semi-Furnished,1,2300000,Ready_to_move,New_Property,Builder_Floor
750,2,2,Semi-Furnished,1,5000000,Ready_to_move,New_Property,Apartment
720,2,2,Semi-Furnished,1,4700000,Ready_to_move,New_Property,Apartment
800,2,2,Semi-Furnished,1,5500000,Ready_to_move,New_Property,Apartment
350,1,1,Semi-Furnished,1,2000000,Ready_to_move,New_Property,Apartment
980,3,2,Semi-Furnished,1,7300000,Ready_to_move,New_Property,Apartment
1600,4,3,Semi-Furnished,1,13000000,Ready_to_move,New_Property,Apartment
1450,3,3,Semi-Furnished,1,11500000,Ready_to_move,New_Property,Apartment
445,2,2,Semi-Furnished,1,2800000,Ready_to_move,New_Property,Apartment
380,1,1,Semi-Furnished,1,2200000,Ready_to_move,New_Property,Apartment
680,2,2,Semi-Furnished,1,4400000,Ready_to_move,New_Property,Apartment
1600,3,3,Semi-Furnished,1,13500000,Ready_to_move,New_Property,Apartment
630,2,2,Semi-Furnished,1,4100000,Ready_to_move,New_Property,Apartment
1500,3,2,Semi-Furnished,1,12000000,Ready_to_move,New_Property,Apartment
550,2,2,Semi-Furnished,1,3500000,Ready_to_move,New_Property,Apartment
2500,4,3,Semi-Furnished,1,15000000,Ready_to_move,New_Property,Apartment
2800,5,4,Semi-Furnished,1,17500000,Ready_to_move,New_Property,Apartment
300,1,1,Semi-Furnished,1,1900000,Ready_to_move,New_Property,Apartment
800,3,2,Semi-Furnished,1,5500000,Ready_to_move,New_Property,Apartment
1295,3,2,Semi-Furnished,1,10000000,Ready_to_move,New_Property,Apartment
700,3,2,Semi-Furnished,1,4700000,Ready_to_move,New_Property,Apartment
350,1,1,Semi-Furnished,1,2400000,Ready_to_move,New_Property,Builder_Floor
450,2,2,Semi-Furnished,1,3800000,Ready_to_move,New_Property,Builder_Floor
2200,4,4,Semi-Furnished,1,23000000,Ready_to_move,New_Property,Builder_Floor
2300,4,4,Semi-Furnished,1,24500000,Ready_to_move,New_Property,Builder_Floor
1150,3,2,Semi-Furnished,1,10000000,Ready_to_move,New_Property,Builder_Floor
800,3,2,Semi-Furnished,1,5500000,Ready_to_move,New_Property,Builder_Floor
850,3,2,Semi-Furnished,1,7000000,Ready_to_move,New_Property,Builder_Floor
720,3,2,Semi-Furnished,1,6500000,Ready_to_move,New_Property,Builder_Floor
4688,5,4,Unfurnished,1,135000000,Almost_ready,New_Property,Apartment
750,2,2,Semi-Furnished,1,5000000,Ready_to_move,New_Property,Apartment
3901,4,4,Unfurnished,1,93000000,Almost_ready,New_Property,Apartment
950,3,2,Furnished,1,4370000,Ready_to_move,New_Property,Apartment
1000,3,2,Unfurnished,1,4620000,Ready_to_move,New_Property,Apartment
850,2,1,Semi-Furnished,1,1900000,Ready_to_move,New_Property,Apartment
2400,4,4,Semi-Furnished,1,70000000,Ready_to_move,New_Property,Apartment
1350,3,2,Unfurnished,1,5130000,Ready_to_move,New_Property,Apartment
540,2,2,Semi-Furnished,1,3000000,Ready_to_move,New_Property,Apartment
1387,4,4,Unfurnished,1,5890000,Ready_to_move,New_Property,Apartment
540,2,2,Semi-Furnished,1,3300000,Ready_to_move,New_Property,Apartment
976,2,2,Furnished,1,24900000,Ready_to_move,New_Property,Apartment
1050,3,2,Unfurnished,1,3700000,Ready_to_move,New_Property,Apartment
2700,4,3,Semi-Furnished,1,60000000,Ready_to_move,New_Property,Builder_Floor
1500,3,2,Unfurnished,1,17400000,Ready_to_move,Resale,Apartment
2900,5,5,Furnished,1,51000000,Almost_ready,New_Property,Builder_Floor
5025,5,6,Unfurnished,4,170000000,Almost_ready,New_Property,Builder_Floor
1000,3,2,Semi-Furnished,1,5510000,Almost_ready,New_Property,Builder_Floor
1135,3,3,Furnished,2,25000000,Almost_ready,Resale,Apartment
2306,3,3,Unfurnished,1,57000000,Almost_ready,New_Property,Apartment
850,2,2,Semi-Furnished,1,2940000,Almost_ready,New_Property,Apartment
1200,3,3,Semi-Furnished,1,15500000,Ready_to_move,Resale,Apartment
1700,3,2,Semi-Furnished,1,17200000,Ready_to_move,Resale,Apartment
1800,4,3,Semi-Furnished,2,55000000,Ready_to_move,Resale,Builder_Floor
1100,2,2,Semi-Furnished,1,15000000,Ready_to_move,Resale,Apartment
22050,4,4,Semi-Furnished,2,51000000,Almost_ready,New_Property,Builder_Floor
1550,4,3,Semi-Furnished,1,13000000,Ready_to_move,New_Property,Builder_Floor
1600,3,3,Semi-Furnished,1,30000000,Ready_to_move,New_Property,Builder_Floor
700,2,2,Semi-Furnished,1,2400000,Ready_to_move,New_Property,Builder_Floor
45,4,3,Unfurnished,1,5500000,Ready_to_move,New_Property,Builder_Floor
3510,4,4,Semi-Furnished,2,45000000,Ready_to_move,Resale,Builder_Floor
4500,4,4,Semi-Furnished,2,60000000,Ready_to_move,New_Property,Builder_Floor
1800,4,4,Semi-Furnished,2,65000000,Ready_to_move,New_Property,Builder_Floor
6000,5,5,Semi-Furnished,9,220000000,Ready_to_move,New_Property,Builder_Floor
4300,4,4,Unfurnished,2,60000000,Ready_to_move,Resale,Builder_Floor
1700,3,3,Semi-Furnished,2,38500000,Ready_to_move,New_Property,Builder_Floor
2500,3,3,Semi-Furnished,2,50000000,Ready_to_move,Resale,Apartment
4500,4,4,Semi-Furnished,2,75000000,Ready_to_move,New_Property,Builder_Floor
2450,4,4,Furnished,2,70000000,Ready_to_move,New_Property,Builder_Floor
10350,4,7,Semi-Furnished,3,160000000,Ready_to_move,New_Property,Apartment
4800,3,4,Semi-Furnished,1,85000000,Ready_to_move,Resale,Builder_Floor
1600,3,3,Semi-Furnished,2,40000000,Ready_to_move,Resale,Apartment
3500,4,4,Unfurnished,2,90000000,Ready_to_move,Resale,Builder_Floor
2100,4,5,Semi-Furnished,2,56000000,Ready_to_move,New_Property,Builder_Floor
4200,5,5,Semi-Furnished,2,135500000,Ready_to_move,New_Property,Builder_Floor
1500,3,3,Semi-Furnished,2,60000000,Ready_to_move,New_Property,Builder_Floor
8150,4,5,Unfurnished,4,170000000,Ready_to_move,New_Property,Builder_Floor
2200,4,4,Semi-Furnished,2,50000000,Ready_to_move,Resale,Builder_Floor
3500,4,5,Semi-Furnished,2,58000000,Ready_to_move,New_Property,Builder_Floor
2070,3,3,Semi-Furnished,2,37500000,Ready_to_move,New_Property,Builder_Floor
3500,3,3,Unfurnished,1,45000000,Ready_to_move,Resale,Builder_Floor
2000,4,4,Semi-Furnished,3,70000000,Ready_to_move,New_Property,Builder_Floor
2800,6,4,Semi-Furnished,2,29500000,Ready_to_move,Resale,Apartment
2550,4,4,Unfurnished,1,60000000,Ready_to_move,Resale,Builder_Floor
4500,4,4,Semi-Furnished,2,70000000,Ready_to_move,Resale,Builder_Floor
1400,3,3,Semi-Furnished,2,50000000,Ready_to_move,New_Property,Builder_Floor
2800,4,5,Semi-Furnished,2,75000000,Ready_to_move,New_Property,Builder_Floor
2700,4,4,Semi-Furnished,2,52500000,Ready_to_move,New_Property,Builder_Floor
4500,4,4,Semi-Furnished,2,55000000,Ready_to_move,Resale,Builder_Floor
7200,4,4,Semi-Furnished,2,120000000,Ready_to_move,Resale,Builder_Floor
2799,4,4,Semi-Furnished,,65000000,Ready_to_move,New_Property,Builder_Floor
2650,4,4,Unfurnished,2,75000000,Ready_to_move,New_Property,Builder_Floor
2200,4,4,Semi-Furnished,2,47500000,Ready_to_move,New_Property,Builder_Floor
3500,5,5,Semi-Furnished,1,70000000,Ready_to_move,New_Property,Builder_Floor
2200,4,4,Semi-Furnished,2,47500000,Ready_to_move,New_Property,Builder_Floor
2200,4,4,Semi-Furnished,1,40000000,Ready_to_move,New_Property,Builder_Floor
3500,4,4,Semi-Furnished,3,85000000,Ready_to_move,New_Property,Builder_Floor
1440,3,3,Semi-Furnished,3,26000000,Ready_to_move,New_Property,Builder_Floor
3150,4,4,Semi-Furnished,3,35000000,Ready_to_move,Resale,Builder_Floor
900,2,2,Semi-Furnished,3,20000000,Ready_to_move,Resale,Builder_Floor
3690,4,5,Semi-Furnished,3,79000000,Almost_ready,New_Property,Builder_Floor
1200,3,2,Semi-Furnished,3,17000000,Ready_to_move,Resale,Builder_Floor
4500,4,4,Semi-Furnished,2,47500000,Ready_to_move,Resale,Builder_Floor
2799,4,4,Semi-Furnished,2,43000000,Ready_to_move,New_Property,Builder_Floor
1350,3,3,Unfurnished,1,26000000,Ready_to_move,New_Property,Builder_Floor
1200,3,3,Unfurnished,1,25000000,Ready_to_move,New_Property,Builder_Floor
2177,4,5,Semi-Furnished,2,51000000,Ready_to_move,New_Property,Builder_Floor
1500,3,3,Semi-Furnished,2,40000000,Ready_to_move,New_Property,Builder_Floor
1600,3,3,Unfurnished,1,22500000,Ready_to_move,Resale,Builder_Floor
4500,4,4,Semi-Furnished,1,70000000,Ready_to_move,New_Property,Builder_Floor
2150,4,4,Unfurnished,2,45000000,Ready_to_move,New_Property,Builder_Floor
2107,4,4,Semi-Furnished,2,51100000,Ready_to_move,New_Property,Apartment
1150,3,3,Semi-Furnished,1,25500000,Ready_to_move,New_Property,Builder_Floor
1240,3,3,Unfurnished,2,26500000,Ready_to_move,New_Property,Builder_Floor
1000,2,2,Unfurnished,1,15000000,Ready_to_move,Resale,Builder_Floor
4500,4,4,Semi-Furnished,2,55000000,Ready_to_move,Resale,Builder_Floor
1150,3,3,Semi-Furnished,2,26000000,Ready_to_move,New_Property,Builder_Floor
2000,4,4,Semi-Furnished,2,38000000,Ready_to_move,Resale,Builder_Floor
4500,4,5,Semi-Furnished,2,72500000,Ready_to_move,Resale,Builder_Floor
3000,4,5,Semi-Furnished,4,65000000,Ready_to_move,New_Property,Builder_Floor
700,2,2,Unfurnished,,4600000,Ready_to_move,New_Property,Builder_Floor
750,2,2,Semi-Furnished,,9200000,Ready_to_move,Resale,Builder_Floor
1350,4,3,Unfurnished,2,9500000,Ready_to_move,Resale,Apartment
900,2,2,Semi-Furnished,1,4500000,Ready_to_move,Resale,Builder_Floor
